FileName,Image,Binary,Masked,CellCount,Area
t0000,"[[ 96  98  95 ...  99  99  97]
 [ 96  92  95 ...  98 100  98]
 [ 96  97  97 ...  98  99  99]
 ...
 [101 104 102 ...  96  98  96]
 [103 103 101 ...  97  97  96]
 [103 103 106 ...  96  96  97]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",67,546
t0001,"[[ 95  97  95 ...  98 101  99]
 [ 96  95  95 ...  99  99 100]
 [ 95  95  96 ... 100  97  98]
 ...
 [103 102 102 ...  96  95  97]
 [102 101 101 ...  96  98  97]
 [102 103 103 ...  98  98  97]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",65,517
t0002,"[[ 96  95  96 ...  98 101  98]
 [ 96  96  96 ...  99 101  98]
 [ 94  96  96 ...  99  98  99]
 ...
 [102 101 104 ...  97  98  96]
 [103 102 102 ...  96  96  95]
 [103 103 103 ...  95  98  98]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",70,545
t0003,"[[ 98  96  96 ...  97  98 100]
 [ 97  95  95 ...  97  97  98]
 [ 96  95  94 ...  97  97  98]
 ...
 [103 102 103 ...  96  96  97]
 [103 101 101 ...  97  96  97]
 [104 103 102 ...  97  96  96]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",61,520
t0004,"[[ 97  97  97 ... 100  98  99]
 [ 97  98  97 ... 100  97  99]
 [ 96  97  97 ...  99  97  99]
 ...
 [102 102 103 ...  97  97  97]
 [102 103 102 ...  97  97  97]
 [103 104 102 ...  96  98  96]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",59,539
t0005,"[[ 97  98  97 ...  98  99  99]
 [ 97  97  96 ...  99  98  98]
 [ 96  96  97 ...  98  98  97]
 ...
 [103 103 103 ...  97  96  97]
 [101 103 103 ...  97  96  96]
 [102 101 103 ...  97  97  96]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",68,516
t0006,"[[ 95  95  96 ... 100 101 101]
 [ 97  98  96 ... 100 100  99]
 [ 96  97  98 ...  99 101  99]
 ...
 [104 104 103 ...  98  97  97]
 [101 103 102 ...  97  96  96]
 [102 103 103 ...  98  98  97]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",62,497
t0007,"[[ 96  96  96 ... 100 100  98]
 [ 95  96  97 ...  99  99  99]
 [ 95  96  97 ...  96  97  98]
 ...
 [104 105 103 ...  97  96  95]
 [103 104 102 ...  97  97  95]
 [103 102 103 ...  96  96  96]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",65,487
t0008,"[[ 96  97  97 ...  98  99  99]
 [ 97  97  97 ...  99  99  98]
 [ 97  98  97 ...  99 100  99]
 ...
 [103 104 103 ...  98  98  97]
 [103 103 103 ...  96  97  98]
 [102 103 103 ...  95  96  97]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",73,535
t0009,"[[ 95  95  95 ...  96  96  97]
 [ 94  95  95 ...  96  94  95]
 [ 94  94  94 ...  95  94  94]
 ...
 [100  99 100 ...  94  94  94]
 [100 101 101 ...  94  94  94]
 [101 102 100 ...  95  95  94]]","[array([[ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       ...,
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True],
       [ True,  True,  True, ...,  True,  True,  True]])]","[array([[False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       ...,
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False],
       [False, False, False, ..., False, False, False]])]",72,479
